,coords,rating
241,"(35.9578793, -83.89282730000001)",3.0
242,"(36.086791000000005, -87.380641)",1.0
243,"(36.214100900000005, -82.6831404)",3.0
244,"(36.414166, -82.4742074)",1.0
245,"(36.509758, -86.892183)",2.0
246,"(36.553520999999996, -82.617081)",2.0
247,"(35.1042983, -89.8033129)",2.0
248,"(36.340429, -82.37142899999999)",3.0
249,"(36.201495, -86.28954399999999)",5.0
250,"(35.0745268, -89.9323655)",3.0
251,"(36.388972, -86.781499)",1.0
252,"(36.33567, -82.39780400000001)",4.0
253,"(36.00394, -86.789909)",5.0
254,"(36.077992, -87.79371)",3.0
255,"(35.202431600000004, -89.84516409999999)",2.0
256,"(36.19091349999999, -86.615206)",1.0
257,"(35.728459, -89.546041)",1.0
258,"(35.5008627, -85.0073254)",2.0
259,"(35.0459284, -89.67857910000001)",1.0
260,"(36.0736542, -86.9714491)",2.0
261,"(36.0474428, -89.381368)",1.0
262,"(36.2198519, -86.3308912)",4.0
263,"(35.94495, -84.027899)",1.0
264,"(35.973114, -86.4895504)",1.0
265,"(35.610346, -87.841444)",1.0
266,"(36.00244, -83.159605)",2.0
267,"(36.023233499999996, -84.85504259999999)",3.0
268,"(36.028355, -86.590474)",5.0
269,"(36.416492, -89.129329)",1.0
270,"(36.2603927, -86.6603638)",2.0
271,"(35.9768895, -85.20097220000001)",1.0
272,"(35.090020800000005, -85.06653349999999)",4.0
273,"(36.1345816, -86.7820045)",2.0
274,"(36.434596, -86.69779700000001)",5.0
275,"(35.3759019, -86.232439)",5.0
276,"(36.248422, -86.725431)",4.0
277,"(36.552316999999995, -82.513288)",4.0
278,"(35.3256694, -87.7568901)",1.0
279,"(35.932134, -83.204445)",5.0
280,"(35.844124, -83.993583)",2.0
281,"(35.142558, -90.031401)",5.0
282,"(35.072907, -89.842581)",1.0
283,"(35.9414873, -84.0424579)",4.0
284,"(36.579516600000005, -87.4182796)",3.0
285,"(36.037402, -86.964966)",4.0
286,"(36.1845839, -86.6703404)",3.0
287,"(35.210663000000004, -88.06435499999999)",3.0
288,"(35.843035, -87.40708000000001)",4.0
289,"(35.5202324, -84.7922438)",3.0
290,"(36.517203, -82.279237)",4.0
291,"(35.73596, -86.901781)",4.0
292,"(35.890156, -86.38610800000001)",4.0
293,"(35.49396, -85.01245)",1.0
294,"(35.228456, -88.849334)",4.0
296,"(35.621955, -86.17269800000001)",1.0
300,"(35.9650766, -83.18242140000001)",2.0
301,"(35.2272715, -88.2313102)",3.0
302,"(35.2251403, -88.2211388)",2.0
